role,generation,mean_fitness,size,optimal_genotype,interaction_values
predator,54,0.6430280103684953,1648,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,55,0.6557563373397183,1735,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,56,0.6660322426681249,1880,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,57,0.6764297254141938,2114,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,58,0.6832229467579504,2416,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,59,0.6898948684680962,2570,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,60,0.6884209838587069,2852,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,61,0.692634189998262,3000,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,62,0.7017256601469882,3015,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,63,0.7064783160889277,3148,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,64,0.7136215492948351,3233,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,65,0.7181442913512456,3472,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,66,0.7215150550394511,3565,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,67,0.7257305765942217,3545,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,68,0.7293529543413357,3618,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,69,0.7321727237185522,3647,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,70,0.7356253884400331,3575,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,71,0.7395846602354921,3601,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,72,0.7425798920458924,3661,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,73,0.7448191332895807,3758,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,74,0.7430189527000779,3876,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
